bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
0,0,10,2,1,0,0,0,243,2345,1038,5235,0,0,1,1,0,0,0,0,42,40,5,4,42,0,49,39,4,5,42,0,0,0,0,0,2,1,59,8,31,0,0,8,2,0,0,4,2,0,0,2,0
6,1,21,1,5,3,0,0,450,763,1535,4434,0,0,1,0,1,0,2,1,33,37,5,5,29,27,33,35,5,4,29,27,0,0,1,0,2,1,75,4,48,0,0,40,18,0,0,6,0,0,0,8,3
2,1,12,0,3,1,0,0,685,4574,381,686,1,0,1,1,0,0,0,0,48,48,3,4,30,23,58,58,4,4,30,23,2,0,0,0,1,0,58,5,19,4,1,21,5,2,0,3,0,0,0,19,2
1,0,7,0,2,1,0,0,594,2166,1760,5789,0,0,0,0,0,0,1,0,5,13,9,7,19,0,5,5,10,7,19,0,0,0,1,0,0,0,89,9,24,0,0,11,3,0,0,2,0,0,0,1,0
1,0,19,0,5,0,1,0,527,6261,1479,1578,1,0,0,0,1,0,0,0,51,47,4,3,30,0,53,53,4,3,31,0,2,1,1,0,1,1,48,11,39,0,0,22,6,0,0,5,0,0,0,9,0
3,1,15,6,4,0,0,0,106,1600,1458,5186,0,0,1,0,0,0,1,1,28,24,5,6,29,0,30,30,3,6,29,0,1,0,2,1,0,0,55,8,33,0,0,25,4,0,0,5,3,0,0,6,0
8,3,37,8,30,10,0,0,128,7102,781,940,1,1,2,0,2,1,2,1,40,40,4,5,38,30,42,41,5,5,30,28,5,3,16,8,8,2,76,9,44,3,0,55,19,1,0,12,2,1,0,90,39
6,2,23,2,5,0,0,0,392,1522,816,4277,1,0,1,0,0,0,0,0,45,42,3,3,36,0,48,48,3,3,30,0,0,0,0,0,0,0,66,13,64,3,0,19,5,0,0,3,0,0,0,5,0
5,0,11,4,3,2,0,0,182,1584,403,2594,4,2,1,0,0,0,1,0,54,50,3,3,32,26,52,52,4,3,20,20,1,0,7,2,0,0,60,10,24,5,2,29,6,0,0,5,0,0,0,7,6
10,2,26,7,3,0,2,0,265,939,1329,3817,0,0,1,0,1,1,1,1,42,42,4,4,24,0,42,42,4,5,24,0,1,1,0,0,3,0,79,8,43,0,0,33,9,0,0,9,3,0,0,2,0
3,0,12,3,1,1,0,0,364,2146,1318,5269,0,0,2,0,0,0,2,0,39,39,2,5,36,0,39,39,1,5,30,0,0,0,0,0,2,1,64,5,47,0,0,17,5,0,0,4,1,0,0,5,0
8,2,19,1,4,1,0,0,431,3726,716,641,1,0,2,0,0,0,0,0,46,45,4,4,33,36,43,52,4,4,34,40,3,1,2,2,5,3,44,10,66,1,0,36,14,2,0,6,1,0,0,18,6
5,0,25,7,22,5,0,0,197,6182,576,364,6,1,5,2,1,0,1,0,37,39,4,5,34,29,35,45,2,5,30,23,2,1,9,2,12,2,66,10,27,1,0,33,10,2,1,5,2,0,0,89,16
7,2,16,5,3,1,0,0,277,419,1471,3824,0,0,1,0,1,0,2,1,44,46,6,4,26,0,43,45,5,4,27,0,1,1,0,0,3,0,70,9,49,0,0,46,8,0,0,6,3,0,0,5,0
3,1,14,6,8,6,0,0,67,4362,422,1474,3,0,3,1,2,1,5,2,4,17,12,11,45,43,4,6,13,10,32,48,3,2,3,1,6,2,85,10,28,2,1,22,13,0,0,6,3,0,0,25,3
9,1,36,16,33,1,0,0,190,7498,552,1111,4,0,1,0,1,0,2,1,47,41,5,4,38,22,41,41,6,4,30,18,5,0,18,4,6,1,83,8,43,3,0,56,13,0,0,11,6,1,1,73,5
5,1,22,7,2,0,1,0,83,2866,144,1365,5,1,1,0,1,0,0,0,78,65,1,2,34,39,78,69,1,2,40,40,0,0,6,1,0,0,51,6,30,2,1,25,3,0,0,6,0,0,0,12,3
1,0,4,2,0,0,0,0,93,3181,908,4837,0,0,0,0,0,0,0,0,43,44,7,5,0,0,44,46,7,5,0,0,0,0,0,0,0,0,50,7,14,1,0,2,0,0,0,0,0,0,0,0,0
8,5,12,4,2,1,0,0,224,3817,293,226,0,0,3,1,0,0,0,0,56,55,3,3,35,37,57,57,3,3,38,41,1,1,3,1,5,3,59,8,51,1,1,32,15,1,1,5,1,0,0,18,6
4,2,20,5,2,0,0,0,184,2260,230,2296,2,2,1,1,1,0,0,0,19,31,5,5,27,0,16,31,7,5,22,0,0,0,7,4,0,0,57,11,59,3,3,25,14,0,0,8,3,0,0,8,0
3,1,14,8,1,0,0,0,273,4135,1488,2688,1,0,0,0,0,0,0,0,47,49,3,3,48,34,46,47,3,3,50,34,0,0,1,0,1,0,50,11,54,0,0,7,2,0,0,6,4,0,0,9,1
6,3,62,12,30,20,0,0,278,10227,563,3446,8,1,2,0,3,2,0,0,128,91,2,2,40,44,130,102,2,2,37,50,6,3,5,2,18,5,74,10,64,3,0,20,6,0,0,21,6,3,0,32,6
8,3,19,5,4,2,0,0,399,1196,950,4421,0,0,2,0,0,0,0,0,42,45,5,4,33,36,42,49,4,4,30,30,0,0,0,0,3,1,54,10,71,1,0,33,4,0,0,0,0,0,0,7,5
2,1,12,5,0,0,0,0,187,4053,1290,2964,1,1,0,0,0,0,0,0,48,42,4,4,51,34,45,45,4,4,55,34,0,0,1,0,1,1,51,9,33,0,0,6,1,0,0,5,4,0,0,4,1
1,1,8,2,4,0,0,0,338,7898,1056,1991,4,1,1,0,0,0,0,0,24,31,5,7,31,66,29,33,5,6,18,66,1,0,1,1,0,0,62,8,50,0,0,16,5,0,0,5,2,0,0,9,2
4,1,29,12,4,0,1,1,139,3624,384,1409,1,0,0,0,2,0,0,0,54,54,4,3,44,43,54,54,4,4,36,42,0,0,4,0,3,0,41,8,33,1,1,31,3,0,0,9,4,0,0,58,4
2,2,16,9,9,0,0,0,209,4120,567,1721,2,0,3,1,2,0,5,1,0,4,9,9,42,43,0,4,10,10,31,48,3,2,3,0,3,3,66,3,19,1,0,19,6,0,0,7,4,0,0,30,3
6,1,15,3,1,0,0,0,59,2908,769,794,2,0,1,0,1,1,0,0,12,36,8,5,38,44,12,38,7,3,33,36,0,0,4,1,1,0,64,16,45,2,0,28,6,1,0,4,0,0,0,28,14
