bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway_station,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_age_200,mean_age_500,mean_floors_200,mean_floors_500,mean_salaries_1000,mean_salaries_500,median_age_200,median_age_500,median_floors_200,median_floors_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,priced_houses_200,priced_houses_500,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
27,11,87,19,175,46,1,0,77,2999,845,675,5,3,8,5,13,5,9,1,52,76,4,3,62,55,58,105,4,3,49,42,18,4,32,9,74,9,245,5,32,2,0,339,100,2,0,21,5,0,0,282,66
8,3,62,18,50,17,0,0,56,4291,1008,577,2,1,2,1,1,0,4,1,2,67,2,3,59,63,3,107,2,3,50,55,9,1,13,3,6,3,293,3,23,0,0,148,47,1,0,0,0,1,1,252,124
28,10,89,25,129,52,0,0,217,3277,346,473,5,1,3,3,11,2,1,0,102,111,3,2,51,52,102,102,4,2,44,45,32,16,59,17,28,7,143,4,19,6,2,343,149,2,1,8,4,6,0,300,150
9,3,43,29,22,2,0,0,36,4509,1115,240,2,0,2,0,3,1,2,0,81,81,2,2,57,53,81,81,2,2,48,47,4,1,13,6,8,5,112,1,1,0,0,91,20,1,1,6,4,1,1,270,137
3,0,59,20,6,1,0,0,369,4929,1265,1006,0,0,2,0,0,0,2,1,37,38,7,4,61,36,7,7,7,6,52,36,0,0,3,1,6,0,272,3,7,0,0,19,3,0,0,0,0,0,0,92,1
7,1,61,11,18,1,1,0,207,7347,1151,2097,0,0,0,0,0,0,2,0,40,39,3,5,37,33,40,40,3,4,32,32,2,0,7,0,4,0,80,2,4,0,0,79,5,0,0,7,0,0,0,34,3
3,0,27,7,10,4,0,0,258,9966,2346,2400,1,0,0,0,2,2,1,0,33,37,3,4,42,54,33,38,3,5,40,54,1,0,3,1,0,0,88,3,15,0,0,48,14,0,0,0,0,0,0,11,1
52,10,78,16,439,100,7,1,107,1428,206,432,12,2,8,4,150,35,6,1,135,121,3,3,53,52,138,119,4,4,42,40,126,52,290,62,63,8,134,11,58,12,3,1044,239,2,1,8,0,5,0,485,46
31,7,53,11,314,117,4,0,21,1102,266,830,8,0,7,3,75,20,3,2,155,157,3,3,59,60,149,155,3,3,50,50,114,24,229,53,163,27,133,12,37,5,2,642,228,1,0,15,4,7,2,229,84
12,1,47,18,90,25,1,0,214,2183,947,628,3,0,11,2,7,3,3,0,58,94,4,4,61,46,52,107,5,3,45,42,7,1,21,3,124,9,194,4,16,1,0,152,49,1,0,13,5,1,0,188,21
