price,price_per_m,area,year,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
14784.0,192,77.0,1895.0,46,15,100,25,319,91,3,0,81,1943,405,657,4,5,7,4,8,6,142,53,6,3,50,53,40,45,72,14,218,75,36,9,3,8,2,933,266,2,0,4,0,1,0,275.0,71.0
7200.0,120,60.0,1849.0,29,6,130,20,292,58,1,0,150,1971,54,647,1,6,8,5,5,0,74,15,7,1,50,44,40,48,44,10,287,33,52,16,2,5,2,881,136,5,0,21,4,0,0,242.0,29.0
4950.0,99,50.0,0.0,3,0,35,12,27,1,1,0,146,7465,982,1229,2,9,0,0,2,1,1,0,2,0,45,29,35,30,5,0,8,1,3,0,2,1,0,90,12,0,0,10,0,0,0,94.0,7.0
51399.4,373,137.8,2007.0,1,1,29,16,19,10,0,0,126,6051,2370,242,6,8,0,0,1,1,2,1,2,0,51,59,40,58,0,0,1,0,19,5,3,0,0,16,9,1,1,0,0,0,0,38.0,10.0
4488.4,98,45.8,1963.0,2,2,14,4,6,1,1,1,222,7007,2577,4283,2,5,0,0,2,1,0,0,0,0,39,0,31,0,1,0,2,0,4,0,2,0,0,30,9,0,0,0,0,0,0,14.0,0.0
3272.4,108,30.3,1962.0,2,1,33,11,12,5,0,0,171,10025,2842,2411,2,5,0,0,0,0,2,0,2,0,43,44,42,40,1,0,6,2,3,0,1,0,0,60,20,0,0,2,0,0,0,12.0,4.0
59940.0,333,180.0,2012.0,12,4,60,18,86,24,0,0,124,2336,235,828,6,6,3,2,4,2,9,3,1,1,48,46,35,31,18,3,39,26,87,16,4,3,2,162,61,1,0,9,3,1,0,89.0,32.0
8841.0,210,42.1,2016.0,14,12,39,18,32,26,0,0,232,6221,2813,235,10,15,3,0,1,0,1,1,3,2,58,52,57,50,3,2,14,6,7,3,1,0,0,119,78,1,1,7,3,0,0,217.0,90.0
3363.0,114,29.5,1966.0,5,0,30,9,14,1,0,0,145,5396,887,3231,1,5,3,0,0,0,0,0,0,0,52,0,49,0,2,0,8,0,24,10,1,1,0,79,13,0,0,6,2,1,0,38.0,0.0
13840.0,173,80.0,2017.0,7,2,63,15,31,9,0,0,158,3608,765,1937,5,7,5,2,1,1,3,1,1,0,51,48,45,48,2,0,37,6,29,9,2,2,0,75,21,0,0,4,0,3,0,37.0,1.0
20349.0,119,171.0,1906.0,30,16,96,25,201,36,1,0,263,2349,811,930,5,6,6,3,7,4,81,32,7,1,50,54,42,55,26,10,148,49,23,8,5,3,0,678,158,3,0,7,3,1,0,267.0,23.0
9480.0,120,79.0,1991.0,5,1,42,16,8,2,0,0,241,6561,1439,855,8,14,0,0,1,0,1,0,1,0,46,61,36,47,8,1,6,2,4,0,3,0,0,69,14,1,0,2,0,0,0,45.0,20.0
