price,price_per_m,area,year,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
2144.0,67,32.0,1962,5,2,13,1,10,1,0,0,270,4791,348,1122,5,5,2,2,2,2,4,1,3,1,41,0,32,0,2,1,5,1,4,2,1,3,1,52,16,0,0,4,0,0,0,43,0
4466.0,58,77.0,1986,4,0,19,4,10,2,0,0,404,5131,772,726,3,9,5,3,3,0,4,1,4,2,37,48,28,35,2,0,4,2,5,2,3,2,0,40,7,1,0,5,0,0,0,45,19
3472.0,56,62.0,1971,7,2,17,2,3,0,0,0,313,1505,1221,4714,4,9,0,0,2,0,0,0,1,0,34,36,27,30,0,0,0,0,2,0,3,0,0,38,2,0,0,2,0,0,0,6,5
1904.8999999999999,43,44.3,0,3,1,12,5,4,3,1,0,329,3939,965,722,4,27,4,1,1,0,2,0,0,0,31,36,30,40,1,1,3,0,2,0,1,1,0,31,2,1,0,4,1,0,0,24,5
5829.0,67,87.0,2004,3,0,45,11,23,6,0,0,159,10398,572,3737,3,9,4,0,1,1,2,1,0,0,34,28,27,30,4,2,3,0,6,2,2,2,0,14,3,0,0,14,3,1,0,14,4
1972.0,58,34.0,1972,3,1,15,3,1,0,0,0,290,4008,1531,2453,9,9,1,0,0,0,0,0,0,0,48,34,50,34,0,0,1,1,2,0,1,0,0,7,3,0,0,7,1,0,0,9,1
4572.0,36,127.0,1917,9,1,53,16,20,0,0,0,113,9269,859,2576,1,3,3,3,3,1,3,0,0,0,41,46,40,37,4,0,9,0,15,6,3,1,0,23,10,0,0,14,4,1,0,130,16
6500.0,52,125.0,2007,4,2,19,4,2,0,0,0,154,2347,350,2361,2,10,2,0,1,1,1,0,0,0,30,0,24,0,0,0,7,4,1,0,3,3,3,27,14,0,0,8,4,0,0,9,0
2968.1,67,44.3,2010,2,1,17,4,6,1,1,0,380,3720,673,1050,8,18,2,0,1,0,1,1,1,0,31,34,30,32,2,1,0,0,0,0,1,2,0,31,4,0,0,7,2,0,0,34,15
3528.0,49,72.0,1954,5,3,16,4,4,2,1,0,251,3611,862,488,4,4,4,0,1,1,1,1,0,0,39,31,35,31,1,0,4,1,2,2,3,1,0,35,12,1,1,2,0,0,0,27,10
2110.0,50,42.2,1962,2,1,11,4,1,0,0,0,256,2288,150,1496,1,3,2,0,0,0,0,0,0,0,46,0,42,0,0,0,1,0,0,0,2,1,1,13,0,0,0,6,4,0,0,16,0
2574.0,78,33.0,1966,1,0,21,5,5,0,1,0,390,6252,1539,1541,9,10,1,0,0,0,1,0,0,0,30,0,28,0,2,1,1,0,1,1,1,0,0,23,8,0,0,5,0,0,0,10,0
3850.0,55,70.0,1976,8,3,27,6,17,12,0,0,158,7031,1188,1223,1,9,1,0,2,1,2,1,1,0,33,38,30,31,4,4,10,4,7,0,3,0,0,50,18,0,0,12,2,0,0,85,17
2684.0,61,44.0,1967,4,0,11,4,3,2,0,0,111,1700,302,2523,4,5,4,2,1,1,0,0,0,0,26,26,20,20,1,0,7,4,0,0,2,4,3,30,9,0,0,5,0,0,0,6,6
1960.0,40,49.0,1972,0,0,5,2,1,0,0,0,261,6318,1071,1289,1,3,0,0,0,0,1,0,0,0,25,0,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,2,1,0,7,0
1830.0,5,366.0,1980,4,0,14,4,3,2,0,0,255,1782,191,2613,4,9,3,2,1,1,0,0,0,0,26,26,20,20,1,0,8,5,0,0,1,4,2,30,9,0,0,8,0,0,0,6,6
1150.0,50,23.0,1971,4,1,14,3,6,0,0,0,221,1025,595,2949,5,5,4,0,0,0,0,0,1,1,26,12,20,12,1,1,3,0,2,0,2,4,0,33,11,0,0,1,0,0,0,6,1
2088.0,72,29.0,1968,6,2,14,4,2,1,2,1,66,1526,475,3044,5,9,1,0,1,1,0,0,1,1,20,0,17,0,2,0,1,1,5,3,1,2,2,21,4,0,0,4,0,0,0,6,0
4420.0,65,68.0,1987,5,2,21,6,3,2,0,0,357,1892,406,4387,5,12,0,0,1,0,0,0,1,1,36,0,40,0,2,0,3,0,1,0,2,1,1,44,10,0,0,7,2,0,0,13,0
3004.8,48,62.6,1970,4,1,20,0,2,0,0,0,587,1657,800,4473,1,5,1,0,1,0,0,0,0,0,36,0,30,0,0,0,0,0,2,0,3,1,0,16,3,0,0,4,0,0,0,5,0
3408.6,57,59.8,1974,8,4,20,8,5,2,0,0,116,1022,228,3721,9,9,1,0,1,0,0,0,0,0,38,0,38,0,0,0,0,0,0,0,3,2,1,30,13,0,0,1,0,0,0,2,0
5270.0,62,85.0,1992,2,0,11,4,2,0,0,0,256,2430,492,2718,9,10,2,0,1,0,1,0,0,0,31,0,28,0,0,0,7,2,1,0,4,3,1,25,7,0,0,8,4,0,0,12,0
2772.0,63,44.0,1960,2,1,12,4,0,0,0,0,77,3890,1142,2988,3,5,1,1,0,0,0,0,0,0,39,34,34,34,0,0,1,0,2,1,2,0,0,8,2,0,0,5,3,0,0,3,1
